Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"MADKAI_SS", 11, 1,    6346.07,   -0.1,   0.99925, 2,    6346.07, -120.1,   0.99925, 3,    6346.07,  119.9,   0.99925
"3_WAY_KHARWADA", 11, 1,    6322.66,   -0.1,   0.99556, 2,    6322.66, -120.1,   0.99556, 3,    6322.66,  119.9,   0.99556
"KONAR_GAUNEM_DTC", 11, 1,    6340.44,   -0.1,   0.99836, 2,    6340.44, -120.1,   0.99836, 3,    6340.44,  119.9,   0.99836
"RAM_MANDIR", 11, 1,    6319.89,   -0.1,   0.99512, 2,    6319.89, -120.1,   0.99512, 3,    6319.89,  119.9,   0.99512
"DEMPO_DTC", 11, 1,    6315.61,   -0.1,   0.99445, 2,    6315.61, -120.1,   0.99445, 3,    6315.61,  119.9,   0.99445
"RB_ENGG", 11, 1,    6313.92,   -0.1,   0.99418, 2,    6313.92, -120.1,   0.99418, 3,    6313.92,  119.9,   0.99418
"UNDIR_BAKALE", 11, 1,    6312.23,   -0.1,   0.99392, 2,    6312.23, -120.1,   0.99392, 3,    6312.23,  119.9,   0.99392
"MULEBHAT", 11, 1,    6309.17,   -0.1,   0.99344, 2,    6309.17, -120.1,   0.99344, 3,    6309.17,  119.9,   0.99344
"MARUTI_TEMPLE", 11, 1,    6305.04,   -0.1,   0.99279, 2,    6305.04, -120.1,   0.99279, 3,    6305.04,  119.9,   0.99279
"CHIKALI", 11, 1,    6301.92,   -0.1,    0.9923, 2,    6301.92, -120.1,    0.9923, 3,    6301.92,  119.9,    0.9923
"ADPAI", 11, 1,    6299.07,   -0.1,   0.99185, 2,    6299.07, -120.1,   0.99185, 3,    6299.07,  119.9,   0.99185
"DURBHAT", 11, 1,    6296.34,   -0.1,   0.99142, 2,    6296.34, -120.1,   0.99142, 3,    6296.34,  119.9,   0.99142
"SEWERAGE", 11, 1,    6296.31,   -0.1,   0.99141, 2,    6296.31, -120.1,   0.99141, 3,    6296.31,  119.9,   0.99141
"KASWADA", 11, 1,    6295.23,   -0.1,   0.99124, 2,    6295.23, -120.1,   0.99124, 3,    6295.23,  119.9,   0.99124
"LONDIYAR_WADEM", 11, 1,    6294.43,   -0.1,   0.99112, 2,    6294.43, -120.1,   0.99112, 3,    6294.43,  119.9,   0.99112
"3_WAY_TALAULIM", 11, 1,     6294.4,   -0.1,   0.99111, 2,     6294.4, -120.1,   0.99111, 3,     6294.4,  119.9,   0.99111
"NEW_TALAULIM", 11, 1,    6294.26,   -0.1,   0.99109, 2,    6294.26, -120.1,   0.99109, 3,    6294.26,  119.9,   0.99109
"WADI", 11, 1,    6293.86,   -0.1,   0.99103, 2,    6293.86, -120.1,   0.99103, 3,    6293.86,  119.9,   0.99103
"TALAULIM", 11, 1,    6294.19,   -0.1,   0.99108, 2,    6294.19, -120.1,   0.99108, 3,    6294.19,  119.9,   0.99108
"MAHALAKSHMI_NAGAR", 11, 1,    6294.09,   -0.1,   0.99106, 2,    6294.09, -120.1,   0.99106, 3,    6294.09,  119.9,   0.99106
"PAUNWADA", 11, 1,    6294.34,   -0.1,    0.9911, 2,    6294.34, -120.1,    0.9911, 3,    6294.34,  119.9,    0.9911
"3_WAY_DON_KHAMB", 11, 1,    6294.57,   -0.1,   0.99114, 2,    6294.57, -120.1,   0.99114, 3,    6294.57,  119.9,   0.99114
"KAVLE_MATH", 11, 1,    6295.62,   -0.1,    0.9913, 2,    6295.62, -120.1,    0.9913, 3,    6295.62,  119.9,    0.9913
"SHANTADURGA_OLD", 11, 1,    6296.45,   -0.1,   0.99143, 2,    6296.45, -120.1,   0.99143, 3,    6296.45,  119.9,   0.99143
"3_WAY_SHANTADURGA", 11, 1,    6296.49,   -0.1,   0.99144, 2,    6296.49, -120.1,   0.99144, 3,    6296.49,  119.9,   0.99144
"SANATAN_1", 11, 1,    6299.94,   -0.1,   0.99198, 2,    6299.94, -120.1,   0.99198, 3,    6299.94,  119.9,   0.99198
"SANATAN_2", 11, 1,    6300.08,   -0.1,   0.99201, 2,    6300.08, -120.1,   0.99201, 3,    6300.08,  119.9,   0.99201
"RAMNATHI_DEVASTHAN", 11, 1,    6300.69,   -0.1,    0.9921, 2,    6300.69, -120.1,    0.9921, 3,    6300.69,  119.9,    0.9921
"RAMNATHI", 11, 1,    6301.58,   -0.1,   0.99224, 2,    6301.58, -120.1,   0.99224, 3,    6301.58,  119.9,   0.99224
"3_WAY_RAMNATHI", 11, 1,    6304.22,   -0.1,   0.99266, 2,    6304.22, -120.1,   0.99266, 3,    6304.22,  119.9,   0.99266
"RPRS_SCHOOL", 11, 1,    6306.64,   -0.1,   0.99304, 2,    6306.64, -120.1,   0.99304, 3,    6306.64,  119.9,   0.99304
"TOLULEM", 11, 1,    6311.72,   -0.1,   0.99384, 2,    6311.72, -120.1,   0.99384, 3,    6311.72,  119.9,   0.99384
"KHARWADA", 11, 1,     6321.3,   -0.1,   0.99535, 2,     6321.3, -120.1,   0.99535, 3,     6321.3,  119.9,   0.99535
"SHANTADURGA_NEW", 11, 1,    6296.44,   -0.1,   0.99143, 2,    6296.44, -120.1,   0.99143, 3,    6296.44,  119.9,   0.99143
"GALSHIRE", 11, 1,    6295.94,   -0.1,   0.99135, 2,    6295.94, -120.1,   0.99135, 3,    6295.94,  119.9,   0.99135
"3_WAY_GALSHIRE", 11, 1,     6294.6,   -0.1,   0.99114, 2,     6294.6, -120.1,   0.99114, 3,     6294.6,  119.9,   0.99114
"3_WAY_HARISH_BAR", 11, 1,     6294.2,   -0.1,   0.99108, 2,     6294.2, -120.1,   0.99108, 3,     6294.2,  119.9,   0.99108
"SNEH_MANDIR", 11, 1,    6293.88,   -0.1,   0.99103, 2,    6293.88, -120.1,   0.99103, 3,    6293.88,  119.9,   0.99103
"RAJENDRA_TALAK", 11, 1,    6293.59,   -0.1,   0.99098, 2,    6293.59, -120.1,   0.99098, 3,    6293.59,  119.9,   0.99098
"RITESH_DEVELOPERS", 11, 1,    6293.42,   -0.1,   0.99096, 2,    6293.42, -120.1,   0.99096, 3,    6293.42,  119.9,   0.99096
"VENKATESH_LEELA", 11, 1,    6293.18,   -0.1,   0.99092, 2,    6293.18, -120.1,   0.99092, 3,    6293.18,  119.9,   0.99092
"PERIGOL", 11, 1,     6292.9,   -0.1,   0.99088, 2,     6292.9, -120.1,   0.99088, 3,     6292.9,  119.9,   0.99088
"MANMOHAN_SINGH", 11, 1,    6292.86,   -0.1,   0.99087, 2,    6292.86, -120.1,   0.99087, 3,    6292.86,  119.9,   0.99087
"DHUMRE", 11, 1,    6292.97,   -0.1,   0.99089, 2,    6292.97, -120.1,   0.99089, 3,    6292.97,  119.9,   0.99089
"3_WAY_ROYAL_ENFIELD", 11, 1,    6293.36,   -0.1,   0.99095, 2,    6293.36, -120.1,   0.99095, 3,    6293.36,  119.9,   0.99095
"SHASHIKALA_PAI", 11, 1,    6294.06,   -0.1,   0.99106, 2,    6294.06, -120.1,   0.99106, 3,    6294.06,  119.9,   0.99106
"KAPILESHWARI", 11, 1,    6293.94,   -0.1,   0.99104, 2,    6293.94, -120.1,   0.99104, 3,    6293.94,  119.9,   0.99104
"3_WAY_RATHAMAL", 11, 1,    6293.83,   -0.1,   0.99102, 2,    6293.83, -120.1,   0.99102, 3,    6293.83,  119.9,   0.99102
"MATRUCHAYA", 11, 1,    6293.57,   -0.1,   0.99098, 2,    6293.57, -120.1,   0.99098, 3,    6293.57,  119.9,   0.99098
